ID: 6520, Имя: svchost, Приоритет: 8, Время начала: 03.12.2024 10:37:01, Сколько времени использовался: 00:00:00.2343750
ID: 13200, Имя: browser, Приоритет: 4, Время начала: 03.12.2024 11:50:48, Сколько времени использовался: 00:00:01.5625000
ID: 11184, Имя: browser, Приоритет: 8, Время начала: 03.12.2024 11:50:49, Сколько времени использовался: 00:00:00.0312500
ID: 14864, Имя: browser, Приоритет: 8, Время начала: 03.12.2024 11:51:58, Сколько времени использовался: 00:00:00.3593750
ID: 13428, Имя: browser, Приоритет: 8, Время начала: 03.12.2024 11:54:27, Сколько времени использовался: 00:00:46.3281250
ID: 6088, Имя: browser, Приоритет: 4, Время начала: 03.12.2024 11:54:30, Сколько времени использовался: 00:00:00.0312500
ID: 5596, Имя: devenv, Приоритет: 8, Время начала: 03.12.2024 12:02:21, Сколько времени использовался: 00:01:34.5781250
ID: 10664, Имя: Microsoft.ServiceHub.Controller, Приоритет: 8, Время начала: 03.12.2024 12:02:24, Сколько времени использовался: 00:00:01.9531250
ID: 8932, Имя: ServiceHub.VSDetouredHost, Приоритет: 8, Время начала: 03.12.2024 12:02:26, Сколько времени использовался: 00:00:02.8437500
ID: 1468, Имя: ServiceHub.ThreadedWaitDialog, Приоритет: 8, Время начала: 03.12.2024 12:02:27, Сколько времени использовался: 00:00:01.7187500
ID: 6548, Имя: ServiceHub.IdentityHost, Приоритет: 8, Время начала: 03.12.2024 12:02:33, Сколько времени использовался: 00:00:02.9375000
ID: 18600, Имя: ServiceHub.RoslynCodeAnalysisService, Приоритет: 8, Время начала: 03.12.2024 12:02:34, Сколько времени использовался: 00:00:13.1875000
ID: 13256, Имя: ServiceHub.IndexingService, Приоритет: 6, Время начала: 03.12.2024 12:02:35, Сколько времени использовался: 00:00:00.6093750
ID: 14876, Имя: ServiceHub.Host.AnyCPU, Приоритет: 8, Время начала: 03.12.2024 12:02:38, Сколько времени использовался: 00:00:04.0468750
ID: 11532, Имя: ServiceHub.SettingsHost, Приоритет: 8, Время начала: 03.12.2024 12:02:40, Сколько времени использовался: 00:00:03.2187500
ID: 13060, Имя: ServiceHub.TestWindowStoreHost, Приоритет: 8, Время начала: 03.12.2024 12:02:41, Сколько времени использовался: 00:00:01.4843750
ID: 15472, Имя: vsls-agent, Приоритет: 8, Время начала: 03.12.2024 12:02:49, Сколько времени использовался: 00:00:00.3906250
ID: 5904, Имя: conhost, Приоритет: 8, Время начала: 03.12.2024 12:02:49, Сколько времени использовался: 00:00:00
ID: 11516, Имя: ServiceHub.Host.netfx.x86, Приоритет: 8, Время начала: 03.12.2024 12:02:58, Сколько времени использовался: 00:00:02.2500000
ID: 20984, Имя: ServiceHub.IntellicodeModelService, Приоритет: 8, Время начала: 03.12.2024 12:02:58, Сколько времени использовался: 00:00:11.4843750
ID: 20520, Имя: ServiceHub.Host.dotnet.x64, Приоритет: 8, Время начала: 03.12.2024 12:02:58, Сколько времени использовался: 00:00:02.6718750
ID: 3460, Имя: msedge, Приоритет: 4, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:00.0625000
ID: 19756, Имя: msedge, Приоритет: 4, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:00.0781250
ID: 17736, Имя: msedge, Приоритет: 8, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:02.0937500
ID: 18264, Имя: msedge, Приоритет: 4, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:00.0781250
ID: 4280, Имя: msedge, Приоритет: 4, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:00.0468750
ID: 17068, Имя: msedge, Приоритет: 4, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:00.4218750
ID: 18644, Имя: msedge, Приоритет: 8, Время начала: 03.12.2024 12:03:02, Сколько времени использовался: 00:00:00.3125000
ID: 16028, Имя: msedge, Приоритет: 8, Время начала: 03.12.2024 12:03:47, Сколько времени использовался: 00:00:00
ID: 20376, Имя: RuntimeBroker, Приоритет: 8, Время начала: 03.12.2024 12:03:47, Сколько времени использовался: 00:00:00.0312500
ID: 10432, Имя: MSBuild, Приоритет: 8, Время начала: 03.12.2024 12:05:28, Сколько времени использовался: 00:00:01.7500000
ID: 19388, Имя: conhost, Приоритет: 8, Время начала: 03.12.2024 12:05:28, Сколько времени использовался: 00:00:00
ID: 15280, Имя: VBCSCompiler, Приоритет: 8, Время начала: 03.12.2024 12:14:47, Сколько времени использовался: 00:00:06.2031250
ID: 2424, Имя: conhost, Приоритет: 8, Время начала: 03.12.2024 12:14:47, Сколько времени использовался: 00:00:00.0156250
ID: 2264, Имя: browser, Приоритет: 8, Время начала: 03.12.2024 12:20:44, Сколько времени использовался: 00:00:00
ID: 1176, Имя: VsDebugConsole, Приоритет: 8, Время начала: 03.12.2024 12:21:12, Сколько времени использовался: 00:00:00.0468750
ID: 12028, Имя: conhost, Приоритет: 8, Время начала: 03.12.2024 12:21:12, Сколько времени использовался: 00:00:00
ID: 7896, Имя: OpenConsole, Приоритет: 8, Время начала: 03.12.2024 12:21:12, Сколько времени использовался: 00:00:00
ID: 12692, Имя: WindowsTerminal, Приоритет: 8, Время начала: 03.12.2024 12:21:12, Сколько времени использовался: 00:00:00.1406250
ID: 11508, Имя: RuntimeBroker, Приоритет: 8, Время начала: 03.12.2024 12:21:12, Сколько времени использовался: 00:00:00.0156250
ID: 5516, Имя: ConsoleApp14, Приоритет: 8, Время начала: 03.12.2024 12:21:12, Сколько времени использовался: 00:00:00.0468750
